"Date Time","Date Time(RAW)","Download IXP (volume)","Download IXP (volume)(RAW)","Download IXP (speed)","Download IXP (speed)(RAW)","Upload IXP (volume)","Upload IXP (volume)(RAW)","Upload IXP (speed)","Upload IXP (speed)(RAW)","Download NIX (volume)","Download NIX (volume)(RAW)","Download NIX (speed)","Download NIX (speed)(RAW)","Upload NIX (volume)","Upload NIX (volume)(RAW)","Upload NIX (speed)","Upload NIX (speed)(RAW)","Total (volume)","Total (volume)(RAW)","Total (speed)","Total (speed)(RAW)","Coverage","Coverage(RAW)"
"1/30/2025 2:00:00 AM - 3:00:00 AM","45686.8333333333","3,930 Mbit","3929.9847","1.09 Mbit/s","1.0917","1,424 Mbit","1424.1234","0.40 Mbit/s","0.3956","1,424 Mbit","1424.1425","0.40 Mbit/s","0.3956","29 Mbit","28.7616","","0.0080","6,807 Mbit","6807.0122","1.89 Mbit/s","1.8910","100 %","0000009999"
"1/30/2025 3:00:00 AM - 4:00:00 AM","45686.8750000000","2,844 Mbit","2843.6926","0.79 Mbit/s","0.7900","1,500 Mbit","1500.2561","0.42 Mbit/s","0.4168","1,502 Mbit","1501.5214","0.42 Mbit/s","0.4171","31 Mbit","30.8666","","0.0086","5,876 Mbit","5876.3368","1.63 Mbit/s","1.6324","100 %","0000009999"
"1/30/2025 4:00:00 AM - 5:00:00 AM","45686.9166666667","2,279 Mbit","2279.4416","0.63 Mbit/s","0.6332","1,372 Mbit","1372.3045","0.38 Mbit/s","0.3812","1,371 Mbit","1371.2995","0.38 Mbit/s","0.3809","31 Mbit","30.9743","","0.0086","5,054 Mbit","5054.0198","1.40 Mbit/s","1.4040","100 %","0000009999"
"1/30/2025 5:00:00 AM - 6:00:00 AM","45686.9583333333","7,260 Mbit","7259.7918","2.02 Mbit/s","2.0168","1,599 Mbit","1598.5904","0.44 Mbit/s","0.4441","1,599 Mbit","1598.9726","0.44 Mbit/s","0.4442","30 Mbit","30.3225","","0.0084","10,488 Mbit","10487.6772","2.91 Mbit/s","2.9135","100 %","0000009999"
"1/30/2025 6:00:00 AM - 7:00:00 AM","45687.0000000000","3,615 Mbit","3614.9071","1 Mbit/s","1.0042","1,612 Mbit","1612.4159","0.45 Mbit/s","0.4479","1,612 Mbit","1611.9295","0.45 Mbit/s","0.4478","30 Mbit","30.4285","","0.0085","6,870 Mbit","6869.6809","1.91 Mbit/s","1.9084","100 %","0000009999"
"1/30/2025 7:00:00 AM - 8:00:00 AM","45687.0416666667","5,192 Mbit","5191.7217","1.44 Mbit/s","1.4423","2,319 Mbit","2318.9935","0.64 Mbit/s","0.6442","2,319 Mbit","2318.8724","0.64 Mbit/s","0.6442","28 Mbit","28.4259","","0.0079","9,858 Mbit","9858.0134","2.74 Mbit/s","2.7386","100 %","0000009999"
"1/30/2025 8:00:00 AM - 9:00:00 AM","45687.0833333333","2,698 Mbit","2698.2555","0.75 Mbit/s","0.7496","1,334 Mbit","1334.1148","0.37 Mbit/s","0.3706","1,335 Mbit","1334.6772","0.37 Mbit/s","0.3708","29 Mbit","28.7474","","0.0080","5,396 Mbit","5395.7950","1.50 Mbit/s","1.4989","100 %","0000009999"
"1/30/2025 9:00:00 AM - 10:00:00 AM","45687.1250000000","1,491 Mbit","1491.2476","0.41 Mbit/s","0.4143","1,646 Mbit","1645.9761","0.46 Mbit/s","0.4572","1,645 Mbit","1645.4779","0.46 Mbit/s","0.4571","28 Mbit","28.4890","","0.0079","4,811 Mbit","4811.1906","1.34 Mbit/s","1.3365","100 %","0000009999"
"1/30/2025 10:00:00 AM - 11:00:00 AM","45687.1666666667","1,433 Mbit","1433.4986","0.40 Mbit/s","0.3982","1,536 Mbit","1536.0317","0.43 Mbit/s","0.4267","1,536 Mbit","1536.4776","0.43 Mbit/s","0.4268","30 Mbit","30.1112","","0.0084","4,536 Mbit","4536.1191","1.26 Mbit/s","1.2601","100 %","0000009999"
"1/30/2025 11:00:00 AM - 12:00:00 PM","45687.2083333333","2,597 Mbit","2596.7518","0.72 Mbit/s","0.7214","2,223 Mbit","2223.1893","0.62 Mbit/s","0.6176","2,223 Mbit","2223.0162","0.62 Mbit/s","0.6175","28 Mbit","28.4754","","0.0079","7,071 Mbit","7071.4326","1.96 Mbit/s","1.9644","100 %","0000009999"
"1/30/2025 12:00:00 PM - 1:00:00 PM","45687.2500000000","1,099 Mbit","1099.3190","0.31 Mbit/s","0.3054","2,467 Mbit","2466.8283","0.69 Mbit/s","0.6853","2,467 Mbit","2466.8174","0.69 Mbit/s","0.6853","29 Mbit","28.9639","","0.0080","6,062 Mbit","6061.9286","1.68 Mbit/s","1.6840","100 %","0000009999"
"1/30/2025 1:00:00 PM - 2:00:00 PM","45687.2916666667","2,282 Mbit","2281.9363","0.63 Mbit/s","0.6339","2,498 Mbit","2498.4357","0.69 Mbit/s","0.6941","2,498 Mbit","2498.4091","0.69 Mbit/s","0.6941","29 Mbit","29.3353","","0.0081","7,308 Mbit","7308.1164","2.03 Mbit/s","2.0302","100 %","0000009999"
"1/30/2025 2:00:00 PM - 3:00:00 PM","45687.3333333333","1,527 Mbit","1527.3063","0.42 Mbit/s","0.4243","1,871 Mbit","1871.0778","0.52 Mbit/s","0.5198","1,871 Mbit","1871.3598","0.52 Mbit/s","0.5199","31 Mbit","30.8397","","0.0086","5,301 Mbit","5300.5837","1.47 Mbit/s","1.4725","100 %","0000009999"
"1/30/2025 3:00:00 PM - 4:00:00 PM","45687.3750000000","1,888 Mbit","1887.7293","0.52 Mbit/s","0.5244","1,331 Mbit","1330.6329","0.37 Mbit/s","0.3696","1,330 Mbit","1330.0293","0.37 Mbit/s","0.3695","47 Mbit","46.5757","0.01 Mbit/s","0.0129","4,595 Mbit","4594.9672","1.28 Mbit/s","1.2765","100 %","0000009999"
"1/30/2025 4:00:00 PM - 5:00:00 PM","45687.4166666667","1,055 Mbit","1055.0836","0.29 Mbit/s","0.2931","1,280 Mbit","1279.5492","0.36 Mbit/s","0.3555","1,280 Mbit","1280.2054","0.36 Mbit/s","0.3556","28 Mbit","28.4286","","0.0079","3,643 Mbit","3643.2669","1.01 Mbit/s","1.0121","100 %","0000009999"
"1/30/2025 5:00:00 PM - 6:00:00 PM","45687.4583333333","2,091 Mbit","2090.5451","0.58 Mbit/s","0.5808","1,350 Mbit","1350.0210","0.38 Mbit/s","0.3750","1,351 Mbit","1350.8226","0.38 Mbit/s","0.3753","29 Mbit","29.0382","","0.0081","4,820 Mbit","4820.4268","1.34 Mbit/s","1.3391","100 %","0000009999"
"1/30/2025 6:00:00 PM - 7:00:00 PM","45687.5000000000","3,393 Mbit","3393.3208","0.94 Mbit/s","0.9427","1,456 Mbit","1455.7204","0.40 Mbit/s","0.4044","1,456 Mbit","1455.8760","0.40 Mbit/s","0.4044","29 Mbit","29.0201","","0.0081","6,334 Mbit","6333.9374","1.76 Mbit/s","1.7596","100 %","0000009999"
"1/30/2025 7:00:00 PM - 8:00:00 PM","45687.5416666667","2,311 Mbit","2311.2893","0.64 Mbit/s","0.6421","1,527 Mbit","1527.3592","0.42 Mbit/s","0.4243","1,526 Mbit","1525.7969","0.42 Mbit/s","0.4239","30 Mbit","30.1308","","0.0084","5,395 Mbit","5394.5762","1.50 Mbit/s","1.4986","100 %","0000009999"
"1/30/2025 8:00:00 PM - 9:00:00 PM","45687.5833333333","3,397 Mbit","3397.2629","0.94 Mbit/s","0.9438","1,504 Mbit","1503.7206","0.42 Mbit/s","0.4177","1,504 Mbit","1503.7055","0.42 Mbit/s","0.4177","29 Mbit","29.0930","","0.0081","6,434 Mbit","6433.7820","1.79 Mbit/s","1.7873","100 %","0000009999"
"1/30/2025 9:00:00 PM - 10:00:00 PM","45687.6250000000","2,695 Mbit","2695.0275","0.75 Mbit/s","0.7487","1,506 Mbit","1505.9624","0.42 Mbit/s","0.4184","1,507 Mbit","1507.3349","0.42 Mbit/s","0.4187","29 Mbit","28.8302","","0.0080","5,737 Mbit","5737.1550","1.59 Mbit/s","1.5938","100 %","0000009999"
"1/30/2025 10:00:00 PM - 11:00:00 PM","45687.6666666667","3,574 Mbit","3573.9882","1 Mbit/s","0.9928","1,500 Mbit","1499.7122","0.42 Mbit/s","0.4166","1,498 Mbit","1498.3755","0.42 Mbit/s","0.4162","28 Mbit","28.3052","","0.0079","6,600 Mbit","6600.3810","1.83 Mbit/s","1.8336","100 %","0000009999"
"1/30/2025 11:00:00 PM - 12:00:00 AM","45687.7083333333","4,711 Mbit","4711.1797","1.31 Mbit/s","1.3088","1,609 Mbit","1608.7993","0.45 Mbit/s","0.4469","1,609 Mbit","1608.7039","0.45 Mbit/s","0.4469","28 Mbit","28.2353","","0.0078","7,957 Mbit","7956.9183","2.21 Mbit/s","2.2104","100 %","0000009999"
"1/31/2025 12:00:00 AM - 1:00:00 AM","45687.7500000000","5,948 Mbit","5947.8076","1.65 Mbit/s","1.6523","1,701 Mbit","1701.4501","0.47 Mbit/s","0.4727","1,701 Mbit","1701.4608","0.47 Mbit/s","0.4727","29 Mbit","28.7719","","0.0080","9,379 Mbit","9379.4905","2.61 Mbit/s","2.6056","100 %","0000009999"
"1/31/2025 1:00:00 AM - 2:00:00 AM","45687.7916666667","6,430 Mbit","6430.0031","1.79 Mbit/s","1.7862","2,039 Mbit","2039.4933","0.57 Mbit/s","0.5666","2,040 Mbit","2039.6062","0.57 Mbit/s","0.5666","28 Mbit","28.4780","","0.0079","10,538 Mbit","10537.5806","2.93 Mbit/s","2.9273","100 %","0000009999"
"1/31/2025 2:00:00 AM - 3:00:00 AM","45687.8333333333","7,049 Mbit","7048.8653","1.96 Mbit/s","1.9582","1,811 Mbit","1810.5506","0.50 Mbit/s","0.5030","1,812 Mbit","1812.0377","0.50 Mbit/s","0.5034","29 Mbit","29.1891","","0.0081","10,701 Mbit","10700.6427","2.97 Mbit/s","2.9726","100 %","0000009999"
"1/31/2025 3:00:00 AM - 4:00:00 AM","45687.8750000000","2,941 Mbit","2940.6310","0.82 Mbit/s","0.8169","1,498 Mbit","1498.3096","0.42 Mbit/s","0.4162","1,498 Mbit","1498.1102","0.42 Mbit/s","0.4162","29 Mbit","29.2949","","0.0081","5,966 Mbit","5966.3456","1.66 Mbit/s","1.6574","100 %","0000009999"
"1/31/2025 4:00:00 AM - 5:00:00 AM","45687.9166666667","1,673 Mbit","1673.3678","0.46 Mbit/s","0.4649","1,377 Mbit","1377.4572","0.38 Mbit/s","0.3827","1,377 Mbit","1376.6684","0.38 Mbit/s","0.3824","30 Mbit","30.3811","","0.0084","4,458 Mbit","4457.8745","1.24 Mbit/s","1.2384","100 %","0000009999"
"1/31/2025 5:00:00 AM - 6:00:00 AM","45687.9583333333","5,423 Mbit","5423.0100","1.51 Mbit/s","1.5065","1,473 Mbit","1473.1019","0.41 Mbit/s","0.4092","1,473 Mbit","1473.1877","0.41 Mbit/s","0.4093","30 Mbit","29.8257","","0.0083","8,399 Mbit","8399.1253","2.33 Mbit/s","2.3333","100 %","0000009999"
"1/31/2025 6:00:00 AM - 7:00:00 AM","45688.0000000000","1,176 Mbit","1175.6056","0.33 Mbit/s","0.3266","1,368 Mbit","1368.4256","0.38 Mbit/s","0.3801","1,368 Mbit","1368.4106","0.38 Mbit/s","0.3801","28 Mbit","28.4584","","0.0079","3,941 Mbit","3940.9002","1.09 Mbit/s","1.0948","100 %","0000009999"
"1/31/2025 7:00:00 AM - 8:00:00 AM","45688.0416666667","1,247 Mbit","1246.5739","0.35 Mbit/s","0.3463","1,282 Mbit","1281.6952","0.36 Mbit/s","0.3561","1,282 Mbit","1281.6111","0.36 Mbit/s","0.3560","28 Mbit","28.3747","","0.0079","3,838 Mbit","3838.2550","1.07 Mbit/s","1.0663","100 %","0000009999"
"1/31/2025 8:00:00 AM - 9:00:00 AM","45688.0833333333","1,831 Mbit","1831.3629","0.51 Mbit/s","0.5088","1,279 Mbit","1278.5586","0.36 Mbit/s","0.3552","1,279 Mbit","1278.5623","0.36 Mbit/s","0.3552","28 Mbit","28.4821","","0.0079","4,417 Mbit","4416.9659","1.23 Mbit/s","1.2270","100 %","0000009999"
"1/31/2025 9:00:00 AM - 10:00:00 AM","45688.1250000000","1,085 Mbit","1085.3752","0.30 Mbit/s","0.3015","1,287 Mbit","1287.2516","0.36 Mbit/s","0.3576","1,287 Mbit","1287.2610","0.36 Mbit/s","0.3576","30 Mbit","29.6950","","0.0082","3,690 Mbit","3689.5828","1.02 Mbit/s","1.0250","100 %","0000009999"
"1/31/2025 10:00:00 AM - 11:00:00 AM","45688.1666666667","1,110 Mbit","1110.3511","0.31 Mbit/s","0.3085","1,367 Mbit","1367.0314","0.38 Mbit/s","0.3798","1,366 Mbit","1366.4505","0.38 Mbit/s","0.3796","31 Mbit","31.0855","","0.0086","3,875 Mbit","3874.9184","1.08 Mbit/s","1.0764","100 %","0000009999"
"1/31/2025 11:00:00 AM - 12:00:00 PM","45688.2083333333","1,384 Mbit","1383.8822","0.38 Mbit/s","0.3844","1,325 Mbit","1325.4423","0.37 Mbit/s","0.3682","1,326 Mbit","1325.9760","0.37 Mbit/s","0.3684","30 Mbit","30.0449","","0.0083","4,065 Mbit","4065.3454","1.13 Mbit/s","1.1293","100 %","0000009999"
"1/31/2025 12:00:00 PM - 1:00:00 PM","45688.2500000000","1,061 Mbit","1061.3938","0.29 Mbit/s","0.2949","1,307 Mbit","1307.0482","0.36 Mbit/s","0.3631","1,307 Mbit","1306.5144","0.36 Mbit/s","0.3629","40 Mbit","39.6033","0.01 Mbit/s","0.0110","3,715 Mbit","3714.5597","1.03 Mbit/s","1.0319","100 %","0000009999"
"1/31/2025 1:00:00 PM - 2:00:00 PM","45688.2916666667","1,210 Mbit","1209.7342","0.34 Mbit/s","0.3361","1,322 Mbit","1321.9221","0.37 Mbit/s","0.3672","1,322 Mbit","1322.4479","0.37 Mbit/s","0.3674","30 Mbit","29.5073","","0.0082","3,884 Mbit","3883.6114","1.08 Mbit/s","1.0789","100 %","0000009999"
"1/31/2025 2:00:00 PM - 3:00:00 PM","45688.3333333333","1,486 Mbit","1485.7962","0.41 Mbit/s","0.4128","1,384 Mbit","1383.8033","0.38 Mbit/s","0.3844","1,384 Mbit","1383.8416","0.38 Mbit/s","0.3844","29 Mbit","28.5851","","0.0079","4,282 Mbit","4282.0261","1.19 Mbit/s","1.1895","100 %","0000009999"
"1/31/2025 3:00:00 PM - 4:00:00 PM","45688.3750000000","1,608 Mbit","1608.3366","0.45 Mbit/s","0.4468","1,274 Mbit","1273.8685","0.35 Mbit/s","0.3539","1,274 Mbit","1273.8994","0.35 Mbit/s","0.3539","29 Mbit","28.6906","","0.0080","4,185 Mbit","4184.7951","1.16 Mbit/s","1.1625","100 %","0000009999"
"1/31/2025 4:00:00 PM - 5:00:00 PM","45688.4166666667","960 Mbit","959.8840","0.27 Mbit/s","0.2667","1,294 Mbit","1293.5002","0.36 Mbit/s","0.3593","1,293 Mbit","1292.9708","0.36 Mbit/s","0.3592","29 Mbit","29.2983","","0.0081","3,576 Mbit","3575.6534","1 Mbit/s","0.9933","100 %","0000009999"
